context_id	manifest_id_hex	address_profile	descriptor_network	pegged_asset_rpc_hex	pegged_asset_consensus_hex	confidential_address_prefix
liquid-mainnet	b88244f81daf14b2f47915d430ec41e5402de538020f1e4847e8ddbd6f238e5b	liquid-mainnet	mainnet	6f0279e9ed041c3d710a9f57d0c02928416460c4b722ae3457a11eec381c526d	6d521c38ec1ea15734ae22b7c46064412829c0d0579f0a713d1c04ede979026f	lq1
liquid-testnet	e4e7ec03e19ce5f83fd04c586788b724d88052b65ef2480cc93bcd50324f6b20	liquid-testnet	test	144c654344aa716d6f3abcc1ca90e5641e4e2a7f633bc09fe3baf64585819a49	499a818545f6bae39fc03b637f2a4e1e64e590cac1bc3a6f6d71aa4443654c14	tlq1
